"text_id"	"subject_id"	"difficulty_penalty"	"text_length"	"subject_speed"	"language"	"eye_effect_dominant"	"eye_effect_weak"	"eye_effect_both"	"eye_effect_prost"	"reading_time_BE"	"reading_time_DE"	"reading_time_WE"	"reading_time_PE"
"1"	1	1	5.69944452965724	79	254.78837017438	"native"	-3.75795903850605	-4.19823936394112	0	5	0.303277142117986	0.307716450800804	0.308245077448691	0.297565446037771
"2"	2	1	1.9244053034646	51	254.78837017438	"native"	-3.75795903850605	-4.19823936394112	0	5	0.198665609473735	0.201617034685838	0.201968570938012	0.194870120141756
"3"	3	1	-2.72463324750759	76	254.78837017438	"native"	-3.75795903850605	-4.19823936394112	0	5	0.301511042114117	0.306074230919299	0.306617906676197	0.295646522954033
"4"	4	1	-1.57587659553848	66	254.78837017438	"native"	-3.75795903850605	-4.19823936394112	0	5	0.260650645894966	0.264577271051083	0.265045068235498	0.255603433765872
"5"	5	1	8.96606503845092	58	254.78837017438	"native"	-3.75795903850605	-4.19823936394112	0	5	0.219901515412236	0.223079946518628	0.223458352863851	0.215810391944114
"6"	6	1	-0.296846218029233	54	254.78837017438	"native"	-3.75795903850605	-4.19823936394112	0	5	0.21218781341127	0.215368054204046	0.215746899034612	0.208099282692114
"7"	7	1	-3.38760254638647	55	254.78837017438	"native"	-3.75795903850605	-4.19823936394112	0	5	0.2187741927717	0.22209407296447	0.222489633848935	0.214507938134563
"8"	8	1	-7.8019976241896	87	254.78837017438	"native"	-3.75795903850605	-4.19823936394112	0	5	0.352246154723863	0.357688473743306	0.358337118286008	0.345256765750979
"9"	9	1	3.10367527818278	79	254.78837017438	"native"	-3.75795903850605	-4.19823936394112	0	5	0.306329727469362	0.31085951953445	0.311399009766929	0.300503576911212
"10"	10	1	2.44621661339634	68	254.78837017438	"native"	-3.75795903850605	-4.19823936394112	0	5	0.264350143770135	0.26826930989181	0.268736095396209	0.259309806661894
"11"	11	1	1.49066878405428	79	254.78837017438	"native"	-3.75795903850605	-4.19823936394112	0	5	0.308257750306348	0.3128451693025	0.31339157971207	0.302358736142503
"12"	12	1	-3.42216210571611	63	254.78837017438	"native"	-3.75795903850605	-4.19823936394112	0	5	0.25063034718967	0.254434172717432	0.254887396332744	0.245742215694536
"13"	13	1	-3.05260871520408	53	254.78837017438	"native"	-3.75795903850605	-4.19823936394112	0	5	0.210538223464111	0.213728807508709	0.214108954276473	0.206437933300646
"14"	14	1	-0.324338029835856	54	254.78837017438	"native"	-3.75795903850605	-4.19823936394112	0	5	0.212210737780521	0.215391670935551	0.215770598930152	0.208121332092447
